Block,Area_m2,MeanDepth_m,Volume_m3
Block-496,3200.0,2.53,8285.5
Block-497,4300.0,1.85,8046.3
Block-498,5700.0,1.78,10371.1
Block-499,900.0,0.52,465.0
Block-500,4200.0,1.74,7407.2
Block-501,900.0,1.63,1499.4
Block-502,1200.0,2.57,3099.8
Block-503,900.0,2.07,1877.9
Block-504,1800.0,1.56,2887.6
Block-505,900.0,2.05,1772.2
Block-506,2800.0,3.72,11046.3
Block-507,1200.0,2.45,2918.5
Block-508,2300.0,1.42,3318.9
Block-509,6800.0,-0.48,2586.9
Block-510,2100.0,0.79,1897.5
Block-511,2400.0,2.43,5701.1
Block-512,1500.0,2.11,3143.0
Block-513,1200.0,1.0,1329.6
Block-514,1200.0,1.92,2374.4
Block-515,900.0,1.94,1796.3
Block-516,5300.0,1.95,10925.8
Block-517,5500.0,0.72,5694.8
Block-518,5800.0,3.42,19674.6
Block-519,900.0,1.45,1397.8
Block-520,900.0,2.34,2110.0
Block-521,5900.0,4.7,27588.4
Block-522,900.0,1.75,1589.8
Block-523,2400.0,1.97,4737.1
Block-524,3100.0,0.61,2742.8
Block-525,17600.0,6.51,104484.9
Block-526,1900.0,1.55,2895.8
Block-527,900.0,1.2,1100.2
Block-528,1200.0,2.79,3482.2
Block-529,2100.0,3.64,7589.4
Block-530,2700.0,2.06,6205.0
Block-531,900.0,1.49,1362.7
Block-532,3400.0,1.65,6108.9
Block-533,1200.0,3.45,4117.6
Block-534,6100.0,-0.35,2112.6
Block-535,6100.0,3.76,23682.3
Block-536,5300.0,-0.91,4544.3
Block-537,900.0,0.69,608.5
Block-538,900.0,1.85,1702.9
Block-539,1500.0,1.54,2635.1
Block-540,900.0,1.78,1616.8
Block-541,12200.0,4.3,58050.5
Block-542,900.0,1.99,1830.3
Block-543,1600.0,1.82,2805.2
Block-544,900.0,1.48,1379.8
Block-545,900.0,0.97,901.4
Block-546,8300.0,2.05,17688.9
Block-547,900.0,2.89,2634.0
Block-548,5800.0,5.27,29490.4
Block-549,900.0,1.68,1525.2
Block-550,3300.0,2.78,8806.0
Block-551,2100.0,3.47,7492.8
Block-552,900.0,1.67,1511.2
Block-553,11200.0,1.73,21127.0
Block-554,2000.0,2.47,4892.6
Block-555,7900.0,2.68,22618.7
Block-556,6000.0,2.61,15654.0
Block-557,19300.0,3.19,67120.4
Block-558,5100.0,0.65,3526.0
Block-559,2400.0,0.05,718.8
Block-560,900.0,1.9,1721.8
Block-561,1800.0,0.43,785.8
Block-562,18500.0,3.92,75223.8
Block-563,2700.0,1.48,4117.3
Block-564,900.0,1.5,1368.7
Block-565,2200.0,3.03,6499.6
Block-566,900.0,0.92,835.3
Block-567,1200.0,0.62,796.8
Block-568,1200.0,1.12,1458.7
Block-569,2400.0,1.54,3690.4
Block-570,8600.0,1.6,13694.8
Block-571,900.0,0.89,840.3
Block-572,12300.0,-0.16,15935.8
Block-573,900.0,0.85,808.8
Block-574,900.0,1.05,1006.7
Block-575,5600.0,-0.25,1501.6
Block-576,9600.0,-4.75,1717.7
Block-577,14900.0,4.94,73565.5
Block-578,900.0,3.2,2886.2
Block-579,6000.0,0.99,6855.7
Block-580,900.0,2.39,2263.5
Block-581,11500.0,-4.8,9089.0
Block-582,6600.0,3.69,24077.7
Block-583,900.0,1.63,1467.5
Block-584,1200.0,1.34,1595.4
